Name,Style,Brewery,review_aroma,review_appearance,review_palate,review_taste,review_overall
# 100,Barleywine - American,Nøgne Ø - Det Kompromissløse Bryggeri A/S,0.7174411991800331,0.8342625025926924,0.753616711260253,0.7606890008067171,0.7310846570432619
#9,Fruit and Field Beer,Magic Hat Brewing Company,0.5514724020416086,0.623412803797317,0.568707956253234,0.5764791001116301,0.621995446776042
't Smisje BBBourgondier,Quadrupel (Quad),Brouwerij Smisje,0.6891156706208628,0.7158754835653995,0.7035597151107911,0.7274186586731064,0.6984979951527526
't Smisje Blond,Blonde Ale - Belgian,Brouwerij Smisje,0.5016071292994899,0.6466346045118339,0.5316507667960948,0.49371056556306153,0.49044112851210614
(512) Pecan Porter(512) Brewing Company,Porter - American,(512) Brewing Company,0.7329523820438146,0.8384615334911241,0.7257833672474332,0.779874285273531,0.7891066860335705
(512) Whiskey Barrel Aged Double Pecan Porter(512) Brewing Company,Porter - Imperial,(512) Brewing Company,0.7406002489696697,0.8457378721765498,0.7489606346953357,0.7715450770977417,0.7586646361096128
10 Commandments,Strong Ale - Belgian Dark,The Lost Abbey,0.7309801067790516,0.7802346701610667,0.6992829846705395,0.7322674137560312,0.6968694773524213
10 Degrees Below,Wheat Beer - Dunkelweizen,Scuttlebutt Brewing Company,0.5901437807004097,0.6724358514595647,0.641025758382634,0.6111111404612182,0.6584968149173474
1100 Wheat Wine,Wheat Beer - Wheatwine,Fitger's Brewhouse,0.8853994616639711,0.8492306568994048,0.8115384760355018,0.8943396146671407,0.8705882231141857
12 Dogs Of Christmas Ale,Winter Warmer,Thirsty Dog Brewing Company,0.6584021533441153,0.7026034831570303,0.6417160660218411,0.699274165982956,0.68841630008624
120 Minute IPA,IPA - Imperial,Dogfish Head Brewery,0.7140733758596831,0.7942426398228504,0.7020719459944655,0.7145806577042007,0.624668835262949
13 Rebels ESB,Bitter - English Extra Special / Strong Bitter (ESB),French Broad Brewing Co.,0.5460626836294564,0.6482516045615878,0.6258742595481339,0.6226415941616297,0.6554621087493748
13th Century Grut Bier,Gruit / Ancient Herbed Ale,Professor Fritz Briem,0.7075792498535263,0.6484422199520683,0.6640177950755541,0.6965539393625615,0.6513369789493628
1488 Whisky Beer,Strong Ale - English,Tullibardine Distillery,0.5622895468551463,0.5243587084418064,0.5213674983563463,0.5597483063960986,0.503921435663194
1516 Bavarian Lager,Lager - Helles,Okanagan Spring Brewery,0.469129909737751,0.6230768037869785,0.5644796873477165,0.584350798818928,0.6422144839731279
1554,Lager - European Dark,New Belgium Brewing,0.6352608666379209,0.7719319160594436,0.676528140267066,0.7130578274005908,0.7304572687489195
17 Grande Réserve,Strong Ale - Belgian Dark,Unibroue,0.7786126745330388,0.8727270730069867,0.779720247713827,0.8078901364445386,0.8117646175778463
1809,Sour - Berliner Weisse,Professor Fritz Briem,0.7036192282513247,0.7690978852030119,0.7344165204294983,0.7635003595094612,0.7867573446359855
1888,California Common / Steam Beer,Anaheim Brewery,0.4986226447798739,0.7038460370414166,0.7307692514792883,0.6037735550017778,0.6117646693425571
1906 Reserva Especial,Lager - Vienna,"Hijos De Rivera, S.A.",0.37685957279784327,0.5423075705325406,0.48846157781064786,0.4452829770024888,0.4564705370795799
2XIPA,IPA - Imperial,Southern Tier Brewing Company,0.7195343780127408,0.7576167002343599,0.719047213919445,0.7475356035875926,0.7611697892865683
2XSTOUT,Stout - Sweet / Milk,Southern Tier Brewing Company,0.5559229139478883,0.6876921903905289,0.6634615643491104,0.6566037476682074,0.6311764358754293
312 Urban Wheat,Wheat Beer - American Pale,Goose Island Beer Co.,0.5122813099414536,0.6200715421560474,0.5976147232604059,0.5904635162613974,0.6739625575494173
32°/50° Kölsch,Kölsch,COAST Brewing Company,0.7182213423447559,0.8094673172143789,0.7647930180928448,0.7997096452611052,0.8748546705745572
33 ExportVBL Tien Giang Limited (Fosters),Lager - European / Dortmunder Export,VBL Tien Giang Limited (Fosters),0.31871326515556303,0.43991512122815757,0.43079962070772143,0.41865999386113156,0.48133390412554383
4 Elf,Winter Warmer,Dark Horse Brewing Company,0.7592592221201961,0.7711536237278038,0.7401174815294245,0.7615303216249301,0.7429737169857615
420 Extra Pale Ale,Pale Ale - American,SweetWater Brewing Company,0.5737550442143202,0.6665797589716849,0.6240402596892107,0.6475499733999981,0.705594419350063
471 Small Batch IPA,IPA - Imperial,Breckenridge Brewery,0.6743556942858739,0.7647408696843343,0.7024596382723354,0.7127971103997819,0.7156274555884665
5 Barrel Pale Ale,Pale Ale - English,Odell Brewing Company,0.6279123936184692,0.7476530076200925,0.656046411073353,0.6860409951729052,0.7252740682610888
5 Vulture,Chile Beer,5 Rabbit Cerveceria,0.6614075524619778,0.7258740684884328,0.6573427571274801,0.6878216368167274,0.6705882748788963
50 Degrees North-4 Degrees East,Lambic - Traditional,Brasserie Cantillon,0.8024876911859293,0.8066433017428709,0.7756411326429897,0.8138937595391516,0.801960640184531
5AM Saint,Red Ale - American Amber / Red,BrewDog,0.6963085734095236,0.8049229170745513,0.6569230263905363,0.6777358247347791,0.711596537562027
60 Minute IPA,IPA - American,Dogfish Head Brewery,0.7125726818101727,0.7736503622661648,0.7325642128796759,0.7672803597947442,0.7858822622006836
668 Neighbor Of The Beast,Strong Ale - Belgian Pale,New England Brewing Co.,0.6957507552891731,0.788903793504732,0.7176649832565396,0.7276674888805652,0.7194168912392369
72 Imperial Chocolate Cream Stout,Stout - Sweet / Milk,Breckenridge Brewery,0.6804406963701712,0.7473370383796012,0.751479288347747,0.7968068903250483,0.7909502862070856
75 Minute IPA,IPA - American,Dogfish Head Brewery,0.7358497701542952,0.8018000554400015,0.7660939410696967,0.8004817585269253,0.7999164517568427
8 Ball Stout,Stout - Oatmeal,Lost Coast Brewery and Cafe,0.6589126987424023,0.7703317160102068,0.6825912167237524,0.7147169596012799,0.7174736439975196
80/- (Eighty Shilling),Scottish Ale,Williams Brothers Brewing Company,0.6502998952837582,0.7846152702958544,0.6476243347981281,0.6698112958348148,0.7335639278648403
8th Street Pale Ale,Pale Ale - English,Four Peaks Brewing Company,0.5944332788503275,0.688111867326519,0.6276223747982788,0.644939897731313,0.6974790068215535
90 Minute IPA,IPA - Imperial,Dogfish Head Brewery,0.7746741405317752,0.8466773798977656,0.7797054400226584,0.8219590809025721,0.7788986850728175
90 Shilling,Scottish Ale,Odell Brewing Company,0.6418733176999099,0.7846152702958544,0.7980769386094662,0.8018867775008889,0.8058823346712787
A Little Sumpin' Extra! Ale,IPA - Imperial,Lagunitas Brewing Company,0.7644130948305132,0.8337578564233186,0.743744288942747,0.7732438319429307,0.7758681200817055
A Little Sumpin' Sumpin' Ale,IPA - American,Lagunitas Brewing Company,0.7731582619109354,0.7832848394856873,0.7393213662060487,0.7930300598513254,0.7979654398085121
A Little Sumpin' Wild,IPA - Belgian,Lagunitas Brewing Company,0.7407944968821492,0.8132482865614856,0.7297749823250013,0.7627713028506644,0.7616299775651743
ALTerior Motive,Altbier,COAST Brewing Company,0.7672176565049416,0.804807578609464,0.7980769386094662,0.8018867775008889,0.8624999870588224
Aardmonnik - Earthmonk,Sour - Flanders Oud Bruin,De Struise Brouwers,0.7228615181419815,0.665309097394126,0.6533433343582051,0.7531136794802777,0.7174933145876061
Aass Bock,Bock - Traditional,Aass Brewery,0.671571760708346,0.7806753470977028,0.68151967834464,0.7455129996613583,0.7222380679753475
Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Blonde Ale - Belgian,Brasserie Val De Sambre,0.5871011364075884,0.6420814812948148,0.6040724919944238,0.619311971268828,0.6269897060696195
Abbaye De Floreffe Blonde,Blonde Ale - Belgian,Brasserie Lefèbvre SA,0.5955274274900908,0.6990948676644575,0.6199094523146575,0.6659266917680522,0.6955015948707384
