Name,Style,Brewery,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
# 100,Barleywine - American,Nøgne Ø - Det Kompromissløse Bryggeri A/S,0.029459901800327332,0.11456628477905073,0.07037643207855974,0.13911620294599017,0.15057283142389524,0.0425531914893617,0.0016366612111292963,0.0867430441898527,0.15548281505728315,0.024549918166939442,0.18494271685761046
#9,Fruit and Field Beer,Magic Hat Brewing Company,0.06432748538011696,0.06725146198830409,0.0029239766081871343,0.09064327485380116,0.2134502923976608,0.1111111111111111,0.0,0.21637426900584794,0.14619883040935672,0.005847953216374269,0.08187134502923976
't Smisje BBBourgondier,Quadrupel (Quad),Brouwerij Smisje,0.023931623931623933,0.1111111111111111,0.14188034188034188,0.013675213675213675,0.22735042735042735,0.1264957264957265,0.0,0.15042735042735042,0.03418803418803419,0.07179487179487179,0.09914529914529914
't Smisje Blond,Blonde Ale - Belgian,Brouwerij Smisje,0.03125,0.09659090909090909,0.03977272727272727,0.05965909090909091,0.08806818181818182,0.23295454545454544,0.0,0.22443181818181818,0.12215909090909091,0.04261363636363636,0.0625
(512) Pecan Porter(512) Brewing Company,Porter - American,(512) Brewing Company,0.040372670807453416,0.20496894409937888,0.009316770186335404,0.12732919254658384,0.13354037267080746,0.012422360248447204,0.0,0.009316770186335404,0.07142857142857142,0.018633540372670808,0.37267080745341613
(512) Whiskey Barrel Aged Double Pecan Porter(512) Brewing Company,Porter - Imperial,(512) Brewing Company,0.008771929824561403,0.1695906432748538,0.20175438596491227,0.04093567251461988,0.1286549707602339,0.05263157894736842,0.0,0.023391812865497075,0.014619883040935672,0.049707602339181284,0.30994152046783624
10 Commandments,Strong Ale - Belgian Dark,The Lost Abbey,0.01727447216890595,0.10556621880998081,0.11132437619961612,0.05566218809980806,0.22840690978886757,0.07869481765834933,0.0,0.15355086372360843,0.0690978886756238,0.05182341650671785,0.12859884836852206
10 Degrees Below,Wheat Beer - Dunkelweizen,Scuttlebutt Brewing Company,0.02517162471395881,0.16247139588100687,0.08009153318077804,0.12356979405034325,0.14187643020594964,0.05263157894736842,0.0,0.10297482837528604,0.057208237986270026,0.032036613272311214,0.2219679633867277
1100 Wheat Wine,Wheat Beer - Wheatwine,Fitger's Brewhouse,0.01990049751243781,0.14925373134328357,0.12935323383084577,0.01990049751243781,0.1691542288557214,0.06965174129353234,0.0,0.1890547263681592,0.04477611940298507,0.05970149253731343,0.14925373134328357
12 Dogs Of Christmas Ale,Winter Warmer,Thirsty Dog Brewing Company,0.020942408376963352,0.0968586387434555,0.060209424083769635,0.041884816753926704,0.17539267015706805,0.015706806282722512,0.0,0.034031413612565446,0.04450261780104712,0.3036649214659686,0.20680628272251309
120 Minute IPA,IPA - Imperial,Dogfish Head Brewery,0.018367346938775512,0.08775510204081632,0.10204081632653061,0.11224489795918367,0.1816326530612245,0.08571428571428572,0.006122448979591836,0.11836734693877551,0.12857142857142856,0.036734693877551024,0.12244897959183673
13 Rebels ESB,Bitter - English Extra Special / Strong Bitter (ESB),French Broad Brewing Co.,0.03856749311294766,0.08539944903581267,0.01928374655647383,0.1487603305785124,0.11294765840220386,0.0743801652892562,0.0,0.07162534435261708,0.21212121212121213,0.005509641873278237,0.23140495867768596
13th Century Grut Bier,Gruit / Ancient Herbed Ale,Professor Fritz Briem,0.06535947712418301,0.06100217864923747,0.0392156862745098,0.06971677559912855,0.04793028322440087,0.11982570806100218,0.0,0.10021786492374728,0.289760348583878,0.1721132897603486,0.034858387799564274
