Name,Style,Brewery,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,ABV,Min IBU,Max IBU,number_of_reviews
# 100,Barleywine - American,Nøgne Ø - Det Kompromissløse Bryggeri A/S,0.0294599018003273,0.1145662847790507,0.0703764320785597,0.1391162029459901,0.1505728314238952,0.0425531914893617,0.0016366612111292,0.0867430441898527,0.1554828150572831,0.0245499181669394,0.1849427168576104,0.7174411991800331,0.8342625025926924,0.753616711260253,0.7606890008067171,0.7310846570432619,1.5384615384615388,4.0,3.25,0.4789272030651341
#9,Fruit and Field Beer,Magic Hat Brewing Company,0.0643274853801169,0.067251461988304,0.0029239766081871,0.0906432748538011,0.2134502923976608,0.1111111111111111,0.0,0.2163742690058479,0.1461988304093567,0.0058479532163742,0.0818713450292397,0.5514724020416086,0.623412803797317,0.568707956253234,0.5764791001116301,0.621995446776042,-0.3461538461538463,-1.5,0.5,5.168582375478927
't Smisje BBBourgondier,Quadrupel (Quad),Brouwerij Smisje,0.0239316239316239,0.1111111111111111,0.1418803418803418,0.0136752136752136,0.2273504273504273,0.1264957264957265,0.0,0.1504273504273504,0.0341880341880341,0.0717948717948717,0.0991452991452991,0.6891156706208628,0.7158754835653995,0.7035597151107911,0.7274186586731064,0.6984979951527526,2.307692307692308,0.5,0.75,0.003831417624521
't Smisje Blond,Blonde Ale - Belgian,Brouwerij Smisje,0.03125,0.096590909090909,0.0397727272727272,0.0596590909090909,0.0880681818181818,0.2329545454545454,0.0,0.2244318181818181,0.1221590909090909,0.0426136363636363,0.0625,0.5016071292994899,0.6466346045118339,0.5316507667960948,0.4937105655630615,0.4904411285121061,0.0,-0.5,-0.25,-0.1724137931034483
(512) Pecan Porter(512) Brewing Company,Porter - American,(512) Brewing Company,0.0403726708074534,0.2049689440993788,0.0093167701863354,0.1273291925465838,0.1335403726708074,0.0124223602484472,0.0,0.0093167701863354,0.0714285714285714,0.0186335403726708,0.3726708074534161,0.7329523820438146,0.8384615334911241,0.7257833672474332,0.779874285273531,0.7891066860335705,0.076923076923077,0.0,0.25,-0.0459770114942528
(512) Whiskey Barrel Aged Double Pecan Porter(512) Brewing Company,Porter - Imperial,(512) Brewing Company,0.0087719298245614,0.1695906432748538,0.2017543859649122,0.0409356725146198,0.1286549707602339,0.0526315789473684,0.0,0.023391812865497,0.0146198830409356,0.0497076023391812,0.3099415204678362,0.7406002489696697,0.8457378721765498,0.7489606346953357,0.7715450770977417,0.7586646361096128,0.846153846153846,1.5,0.75,-0.21455938697318
10 Commandments,Strong Ale - Belgian Dark,The Lost Abbey,0.0172744721689059,0.1055662188099808,0.1113243761996161,0.055662188099808,0.2284069097888675,0.0786948176583493,0.0,0.1535508637236084,0.0690978886756238,0.0518234165067178,0.128598848368522,0.7309801067790516,0.7802346701610667,0.6992829846705395,0.7322674137560312,0.6968694773524213,1.9230769230769236,0.5,0.75,0.7739463601532567
10 Degrees Below,Wheat Beer - Dunkelweizen,Scuttlebutt Brewing Company,0.0251716247139588,0.1624713958810068,0.080091533180778,0.1235697940503432,0.1418764302059496,0.0526315789473684,0.0,0.102974828375286,0.05720823798627,0.0320366132723112,0.2219679633867277,0.5901437807004097,0.6724358514595647,0.641025758382634,0.6111111404612182,0.6584968149173474,0.5384615384615387,-1.0,-1.0,-0.2183908045977011
1100 Wheat Wine,Wheat Beer - Wheatwine,Fitger's Brewhouse,0.0199004975124378,0.1492537313432835,0.1293532338308457,0.0199004975124378,0.1691542288557214,0.0696517412935323,0.0,0.1890547263681592,0.044776119402985,0.0597014925373134,0.1492537313432835,0.8853994616639711,0.8492306568994048,0.8115384760355018,0.8943396146671407,0.8705882231141857,2.115384615384616,2.5,2.5,-0.3371647509578544
12 Dogs Of Christmas Ale,Winter Warmer,Thirsty Dog Brewing Company,0.0209424083769633,0.0968586387434555,0.0602094240837696,0.0418848167539267,0.175392670157068,0.0157068062827225,0.0,0.0340314136125654,0.0445026178010471,0.3036649214659686,0.206806282722513,0.6584021533441153,0.7026034831570303,0.6417160660218411,0.699274165982956,0.68841630008624,0.884615384615385,1.5,0.75,0.1417624521072797
120 Minute IPA,IPA - Imperial,Dogfish Head Brewery,0.0183673469387755,0.0877551020408163,0.1020408163265306,0.1122448979591836,0.1816326530612245,0.0857142857142857,0.0061224489795918,0.1183673469387755,0.1285714285714285,0.036734693877551,0.1224489795918367,0.7140733758596831,0.7942426398228504,0.7020719459944655,0.7145806577042007,0.624668835262949,4.615384615384616,4.5,3.25,6.329501915708812
13 Rebels ESB,Bitter - English Extra Special / Strong Bitter (ESB),French Broad Brewing Co.,0.0385674931129476,0.0853994490358126,0.0192837465564738,0.1487603305785124,0.1129476584022038,0.0743801652892562,0.0,0.071625344352617,0.2121212121212121,0.0055096418732782,0.2314049586776859,0.5460626836294564,0.6482516045615878,0.6258742595481339,0.6226415941616297,0.6554621087493748,-0.3076923076923076,0.0,0.25,-0.0613026819923371
13th Century Grut Bier,Gruit / Ancient Herbed Ale,Professor Fritz Briem,0.065359477124183,0.0610021786492374,0.0392156862745098,0.0697167755991285,0.0479302832244008,0.1198257080610021,0.0,0.1002178649237472,0.289760348583878,0.1721132897603486,0.0348583877995642,0.7075792498535263,0.6484422199520683,0.6640177950755541,0.6965539393625615,0.6513369789493628,-0.5384615384615387,-2.0,-1.75,0.10727969348659
1488 Whisky Beer,Strong Ale - English,Tullibardine Distillery,0.0247524752475247,0.1336633663366336,0.1831683168316831,0.0321782178217821,0.1831683168316831,0.0569306930693069,0.0,0.0767326732673267,0.0396039603960396,0.0693069306930693,0.2004950495049505,0.5622895468551463,0.5243587084418064,0.5213674983563463,0.5597483063960986,0.503921435663194,0.3846153846153847,2.0,1.25,-0.2873563218390804
